"Dam_Name","Dam_Level","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-20 07:10:23",2023-07-20
"Blue Mountains Dams","82%","2023-07-20 07:10:23",2023-07-20
"Cataract Dam","67%","2023-07-20 07:10:23",2023-07-20
"Cordeaux Dam","82%","2023-07-20 07:10:23",2023-07-20
"Fitzroy Falls Reservoir","63%","2023-07-20 07:10:23",2023-07-20
"Nepean Dam","76%","2023-07-20 07:10:23",2023-07-20
"Prospect Reservoir","92%","2023-07-20 07:10:23",2023-07-20
"Tallowa Dam","63%","2023-07-20 07:10:23",2023-07-20
"Warragamba Dam","96%","2023-07-20 07:10:23",2023-07-20
"Wingecarribee Reservoir","69%","2023-07-20 07:10:23",2023-07-20
"Woronora Dam","96%","2023-07-20 07:10:23",2023-07-20
