"Dam_Name","Dam_Level","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-19 07:10:34",2023-07-19
"Blue Mountains Dams","82%","2023-07-19 07:10:34",2023-07-19
"Cataract Dam","67%","2023-07-19 07:10:34",2023-07-19
"Cordeaux Dam","82%","2023-07-19 07:10:34",2023-07-19
"Fitzroy Falls Reservoir","65%","2023-07-19 07:10:34",2023-07-19
"Nepean Dam","76%","2023-07-19 07:10:34",2023-07-19
"Prospect Reservoir","92%","2023-07-19 07:10:34",2023-07-19
"Tallowa Dam","65%","2023-07-19 07:10:34",2023-07-19
"Warragamba Dam","96%","2023-07-19 07:10:34",2023-07-19
"Wingecarribee Reservoir","69%","2023-07-19 07:10:34",2023-07-19
"Woronora Dam","96%","2023-07-19 07:10:34",2023-07-19
