"Dam_Name","Dam_Level","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-21 07:14:09",2023-07-21
"Blue Mountains Dams","84%","2023-07-21 07:14:09",2023-07-21
"Cataract Dam","67%","2023-07-21 07:14:09",2023-07-21
"Cordeaux Dam","82%","2023-07-21 07:14:09",2023-07-21
"Fitzroy Falls Reservoir","66%","2023-07-21 07:14:09",2023-07-21
"Nepean Dam","76%","2023-07-21 07:14:09",2023-07-21
"Prospect Reservoir","92%","2023-07-21 07:14:09",2023-07-21
"Tallowa Dam","62%","2023-07-21 07:14:09",2023-07-21
"Warragamba Dam","96%","2023-07-21 07:14:09",2023-07-21
"Wingecarribee Reservoir","69%","2023-07-21 07:14:09",2023-07-21
"Woronora Dam","96%","2023-07-21 07:14:09",2023-07-21
